id,name,description,price,quantity,catalogId,image
001,Multi-purpose Cleaner Spray,"Can be used for everyday cleaning, 500ml",3,10,1,"/images/001.jpg"
002,Glass & Window Cleaner,"Leaving your windows and glass surfaces shining, 450ml, pack of 3",3.50,10,1,"/images/002.jpg"
003,Disinfectant Wipes,"Removes up to 99.99% bacteria from surfaces",2.50,30,1,"/images/003.jpg"
004,Microfiber cleaning cloth,"Pack of 12, size 32x32",11.99,50,1,"/images/004.jpg"
005,Floor Cleaner,"Residue-free surface cleaner",1.90,100,1,"/images/005.jpg"
006,Kitchen Cleaner,"Daily kitchen cleaner, 750ml",2.75,35,1,"/images/006.jpg"
007,Kitchen roll,"Kitchen Roll Extra absorbent",3.65,50,1,"/images/007.jpg"
008,Sponge,"Non-scratch sponge",4.80,25,1,"/images/008.jpg"
009,Washing up liquid,"Washing up liquid, 500ml",2.25,100,1,"/images/009.jpg"
010,Floor wipes,"Wet Floor Cleaning Wipes, Pack of 20",4.50,100,1,"/images/010.jpg"
011,Soap,"Luxuary bar of soap",3.65,100,2,"/images/011.jpg"
012,Shampoo,"Hydrating Scalp Shampoo",2.95,100,2,"/images/012.jpg"
013,Toilet Roll,"Toilet Roll, Pack of 3",4.50,100,2,"/images/013.jpg"
014,Washing Hand Soap,"Washing hand soap, 300ml",2.85,100,2,"/images/014.jpg"
015,Bathroom Cleaner,"Clean Living, Bathroom Cleaner Set",5.50,100,2,"/images/015.jpg"
016,Bleach,"Killing 99.99% Bacteria, Clorox 500ml",2.80,100,2,"/images/016.jpg"
017,Toilet Cleaning Set,"Toilet Cleaning Set",6.50,100,2,"/images/017.jpg"
018,Box of Tissues,"Box of Tissues, 100pcs",2.40,100,2,"/images/018.jpg"
019,Bathroom Spray,"Bathroom Spray, 350ml",3.20,100,2,"/images/019.jpg"
020,Hand sanitiser,"Hand Sanitiser, 50ml",1.00,100,2,"/images/020.jpg"
021,Dustpan & Brush,"Durable Dustpan & Brush",3,100,3,"/images/021.jpg"
022,Broom & packer,"Broom & Packer",4,100,3,"/images/022.jpg"
023,Surgical mask,"Surgical mask/Cleaning mask, pack of 50",10,100,3,"/images/023.jpg"
024,Reusable Bin Bag,"Reusable Bin Bag, pack of 20",8.50,100,3,"/images/024.jpg"
025,Cleaning Apron,"Cleaning Apron",1.35,100,3,"/images/025.jpg"
026,Hoover,"Heavy Duty Hoover",23.65,100,3,"/images/026.jpg"
027,Cleaning Gloves,"Cleaning Gloves",2.35,100,3,"/images/027.jpg"
028,Mop & Bucket,"Mop & Bucket",5,100,3,"/images/028.jpg"
029,Duster Cleaning Set,"Duster Cleaning set",4,150,3,"/images/029.jpg"
030,Laundry Cleaning Set,"Laudry Cleaning Set",5.50,100,3,"/images/030.jpg"
